n_selected_adjusted,n_tested_adjusted,rate_adjusted,n_selected_unadjusted,n_tested_unadjusted,rate_unadjusted,resample,delta_R
100,92,0.34782608695652173,98,90,0.23333333333333334,97,0.11449275362318839
80,74,0.43243243243243246,69,64,0.359375,98,0.07305743243243246
89,83,0.26506024096385544,80,76,0.3026315789473684,99,-0.037571337983512976
104,91,0.21978021978021978,100,87,0.21839080459770116,100,0.0013894151825186163
75,68,0.38235294117647056,76,70,0.2571428571428571,101,0.12521008403361344
77,68,0.17647058823529413,81,73,0.2465753424657534,102,-0.07010475423045928
91,83,0.25301204819277107,89,83,0.2289156626506024,103,0.02409638554216867
107,98,0.22448979591836735,92,83,0.21686746987951808,104,0.00762232603884927
81,72,0.3055555555555556,88,78,0.32051282051282054,105,-0.01495726495726496
78,72,0.3888888888888889,101,94,0.2872340425531915,106,0.10165484633569738
99,90,0.3,95,87,0.22988505747126436,107,0.07011494252873562
102,93,0.3010752688172043,104,94,0.24468085106382978,108,0.05639441775337453
90,83,0.24096385542168675,90,84,0.20238095238095238,109,0.03858290304073436
98,91,0.3076923076923077,90,84,0.23809523809523808,110,0.06959706959706963
84,75,0.28,78,70,0.2571428571428571,111,0.02285714285714291
95,89,0.2696629213483146,79,75,0.17333333333333334,112,0.09632958801498126
87,78,0.2564102564102564,88,79,0.1518987341772152,113,0.10451152223304119
73,66,0.24242424242424243,81,74,0.1891891891891892,114,0.05323505323505323
90,83,0.30120481927710846,86,78,0.24358974358974358,115,0.057615075687364875
97,89,0.25842696629213485,86,79,0.24050632911392406,116,0.017920637178210796
93,86,0.26744186046511625,85,75,0.22666666666666666,117,0.0407751937984496
94,86,0.2558139534883721,98,89,0.2808988764044944,118,-0.0250849229161223
89,79,0.189873417721519,105,94,0.1702127659574468,119,0.019660651764072196
92,83,0.26506024096385544,104,93,0.1935483870967742,120,0.07151185386708125
102,93,0.23655913978494625,102,93,0.20430107526881722,121,0.03225806451612903
79,74,0.20270270270270271,77,70,0.18571428571428572,122,0.016988416988416993
49,45,0.28888888888888886,46,40,0.175,123,0.11388888888888887
82,77,0.23376623376623376,76,69,0.2608695652173913,124,-0.027103331451157536
72,65,0.26153846153846155,71,65,0.27692307692307694,125,-0.015384615384615385
85,76,0.19736842105263158,82,73,0.2328767123287671,126,-0.03550829127613553
74,72,0.3055555555555556,79,78,0.21794871794871795,127,0.08760683760683763
73,68,0.2647058823529412,84,78,0.2948717948717949,128,-0.0301659125188537
101,93,0.3225806451612903,95,88,0.2840909090909091,129,0.0384897360703812
101,90,0.2111111111111111,108,97,0.20618556701030927,130,0.004925544100801843
100,90,0.24444444444444444,96,88,0.2159090909090909,131,0.028535353535353525
83,75,0.38666666666666666,60,52,0.40384615384615385,132,-0.017179487179487196
85,76,0.27631578947368424,99,91,0.2967032967032967,133,-0.020387507229612467
94,88,0.3068181818181818,92,86,0.313953488372093,134,-0.007135306553911203
95,90,0.25555555555555554,83,78,0.2564102564102564,135,-0.0008547008547008517
87,79,0.25316455696202533,82,74,0.24324324324324326,136,0.009921313718782077
77,69,0.2318840579710145,73,66,0.21212121212121213,137,0.01976284584980237
85,76,0.2631578947368421,79,70,0.15714285714285714,138,0.10601503759398495
87,80,0.4125,76,69,0.34782608695652173,139,0.06467391304347825
81,72,0.16666666666666666,77,68,0.19117647058823528,140,-0.024509803921568624
95,87,0.25287356321839083,91,82,0.21951219512195122,141,0.03336136809643961
100,90,0.2777777777777778,94,86,0.22093023255813954,142,0.05684754521963825
89,83,0.2289156626506024,83,77,0.16883116883116883,143,0.060084493819433565
94,89,0.3146067415730337,96,91,0.26373626373626374,144,0.050870477836769956
102,91,0.25274725274725274,102,91,0.24175824175824176,145,0.010989010989010978
95,88,0.3181818181818182,88,81,0.25925925925925924,146,0.05892255892255893
91,80,0.225,94,83,0.1927710843373494,147,0.0322289156626506
89,84,0.25,85,79,0.20253164556962025,148,0.04746835443037975
82,74,0.32432432432432434,74,65,0.26153846153846155,149,0.06278586278586279
88,78,0.2692307692307692,103,91,0.23076923076923078,150,0.038461538461538436
87,80,0.3,93,83,0.27710843373493976,151,0.022891566265060226
94,86,0.2558139534883721,87,81,0.2345679012345679,152,0.021246052253804215
93,86,0.22093023255813954,106,96,0.19791666666666666,153,0.02301356589147288
97,90,0.26666666666666666,88,81,0.2222222222222222,154,0.04444444444444445
69,63,0.3492063492063492,66,59,0.3050847457627119,155,0.0441216034436373
100,92,0.31521739130434784,91,84,0.30952380952380953,156,0.005693581780538304
96,87,0.25287356321839083,92,83,0.24096385542168675,157,0.011909707796704083
96,90,0.3,94,86,0.29069767441860467,158,0.009302325581395321
72,67,0.3283582089552239,78,70,0.2571428571428571,159,0.07121535181236677
107,97,0.26804123711340205,97,86,0.2441860465116279,160,0.023855190601774157
99,91,0.2967032967032967,87,80,0.25,161,0.046703296703296704
106,99,0.26262626262626265,94,88,0.2159090909090909,162,0.04671717171717174
81,71,0.23943661971830985,82,72,0.2361111111111111,163,0.0033255086071987405
61,57,0.2631578947368421,55,50,0.3,164,-0.0368421052631579
95,88,0.26136363636363635,87,80,0.25,165,0.011363636363636354
99,90,0.3888888888888889,86,77,0.2727272727272727,166,0.11616161616161619
95,85,0.3411764705882353,86,78,0.3333333333333333,167,0.007843137254901988
90,86,0.4069767441860465,95,89,0.38202247191011235,168,0.024954272275934164
82,74,0.2702702702702703,79,70,0.2,169,0.07027027027027027
112,102,0.29411764705882354,97,87,0.3103448275862069,170,-0.016227180527383367
102,92,0.2391304347826087,107,97,0.1958762886597938,171,0.04325414612281489
81,71,0.2535211267605634,76,68,0.19117647058823528,172,0.062344656172328095
92,85,0.3058823529411765,70,64,0.25,173,0.055882352941176494
89,83,0.3132530120481928,83,76,0.15789473684210525,174,0.15535827520608753
88,82,0.35365853658536583,81,76,0.2631578947368421,175,0.09050064184852374
98,90,0.2222222222222222,84,75,0.18666666666666668,176,0.035555555555555535
89,83,0.26506024096385544,86,79,0.25316455696202533,177,0.011895684001830109
76,70,0.2571428571428571,66,63,0.2222222222222222,178,0.03492063492063491
108,98,0.25510204081632654,99,92,0.18478260869565216,179,0.07031943212067437
105,99,0.35353535353535354,94,89,0.25842696629213485,180,0.09510838724321868
104,98,0.2857142857142857,93,86,0.22093023255813954,181,0.06478405315614616
116,102,0.2647058823529412,117,100,0.25,182,0.01470588235294118
105,96,0.22916666666666666,97,88,0.18181818181818182,183,0.047348484848484834
98,90,0.34444444444444444,82,76,0.3157894736842105,184,0.028654970760233933
93,85,0.24705882352941178,95,84,0.2619047619047619,185,-0.014845938375350143
73,68,0.20588235294117646,70,62,0.22580645161290322,186,-0.01992409867172676
111,101,0.3465346534653465,101,91,0.3076923076923077,187,0.0388423457730388
60,54,0.35185185185185186,61,55,0.3090909090909091,188,0.04276094276094278
81,75,0.28,84,77,0.2597402597402597,189,0.02025974025974031
98,88,0.26136363636363635,97,86,0.2441860465116279,190,0.017177589852008457
102,96,0.2708333333333333,98,90,0.24444444444444444,191,0.02638888888888888
100,94,0.2553191489361702,99,89,0.21348314606741572,192,0.04183600286875447
107,99,0.26262626262626265,98,90,0.26666666666666666,193,-0.004040404040404011
77,70,0.35714285714285715,69,64,0.375,194,-0.01785714285714285
85,79,0.27848101265822783,94,88,0.23863636363636365,195,0.03984464902186419
94,86,0.38372093023255816,97,89,0.38202247191011235,196,0.001698458322445806
105,95,0.28421052631578947,94,86,0.19767441860465115,197,0.08653610771113832
