gene,beta,odds_ratio,p_raw,log2fc,q_bh,replicates
TRAV38-2DV8,0.6531235840012618,1.9215335361908406,0.7973080888434587,0.0033216225475352877,0.885943480927129,False
TRAV39,1.8791495110519738,6.547933548241315,0.18945390018074626,0.017045015849415916,0.3510989183844704,False
TRAV40,-5.762094421605011,0.0031445187487462987,0.42920698072092445,-0.0018253742305539469,0.5979917327953177,False
TRAV41,2.463177505247551,11.742062791752339,0.00010928729668572972,0.1679023016715957,0.003011908213214975,True
AE000661.50,0.4961302714980171,1.6423534957335593,0.46828493295923024,0.018775487353046502,0.6317298801309922,False
TRDV2,1.2838372902665085,3.6104675899773926,0.37781117958016974,0.010790652605893965,0.5493759165863422,False
TRDD1,-370.0731401012,1.9022927531056706e-161,0.9989786629148922,-0.0008031937666999156,1.0,False
TRDD2,-372.63725290463617,1.4645267612193412e-162,0.9982367195401681,-0.0012644062554524461,1.0,False
TRDD3,3.530694686061162,34.14768129523586,0.0801640415597817,0.02214380712605346,0.19572007393602553,False
TRDJ1,0.4280649773457679,1.5342857715458145,0.11583880815463914,0.09525136296914524,0.2508754547781194,False
TRDJ4,3.821131750116302,45.65585010620585,0.06987074645615947,0.017825905251894515,0.1776338533624341,False
TRDJ2,5.513322901278715,247.97375185734614,0.029652464600801103,0.02064768797269612,0.0972141632061005,False
TRDJ3,2.7252525234484613,15.260267015592271,0.07121399078297724,0.027902535418997995,0.18018784556467307,False
TRDC,0.16378144895482066,1.1779568432591074,0.10252755304674634,0.2535789988257582,0.23131724196538606,False
TRDV3,-1.9489027202628206,0.14243027172434217,0.5319772311652602,-0.0038930931781383307,0.684640358491711,False
TRAJ61,-11.695084736515303,8.334685820148691e-06,0.5165152467179662,-0.0007584149356343088,0.6727025216893313,False
TRAJ60,-416.3687676853261,1.490533555199636e-181,0.9932756246663357,-0.002232951407936199,1.0,False
TRAJ59,-25.065049799307932,1.3013292259984582e-11,0.25480483404949883,-0.004438571791339003,0.42656163163436167,False
TRAJ58,-29.8903722184674,1.0441821949346503e-13,0.19675588179205517,-0.0012991484353570564,0.3601731960196581,False
TRAJ57,-364.5320831455779,4.849844489794292e-159,0.99482899101734,-0.002893570944188009,1.0,False
TRAJ56,-13.801458451479487,1.0141513014211217e-06,0.22099081961030287,-0.0025250723505681224,0.3890482990315264,False
TRAJ55,-30.227961706065066,7.450115948680061e-14,0.2309593825670323,-0.0010938603447084722,0.40055591614685815,False
TRAJ54,-9.209512690910573,0.00010008280236881034,0.28771562521154004,-0.004302676639579483,0.461937941615974,False
TRAJ52,-6.862085550797765,0.0010467286488910082,0.1828171372812213,-0.007709836193205238,0.34345577375562225,False
TRAJ51,4.06908035613077,58.50313579477962,0.7127212652645523,0.0005202895038243817,0.8280528277245028,False
TRAJ50,-10.435215432005014,2.9379440469501555e-05,0.391708299429671,-0.001483351409544036,0.56274544309578,False
TRAJ49,-1.881992159754127,0.15228642448056043,0.8301144905161131,-0.0005403239544607323,0.9081396445666803,False
TRAJ48,-7.511792190963457,0.0005466005977111705,0.41803428173259005,-0.0017822227046700436,0.5880623888628608,False
TRAJ47,-4.644804755974942,0.009611406046089973,0.7627013165861007,-0.00027927496850313656,0.86227304042876,False
