metacell_id,patient_id,O_transport_mass,source_marginal,transport_cost_diagnostic
29_P_mc012,29,0.012756516916250696,0.012756516916250694,0.18505890168933553
29_P_mc013,29,0.013311148086522463,0.013311148086522463,0.14687519184888062
29_P_mc014,29,0.013865779256794233,0.013865779256794232,0.12637899244617562
29_P_mc015,29,0.008319467554076539,0.008319467554076539,0.09588483583521779
29_P_mc016,29,0.0036051026067665,0.0036051026067665,0.04688903126027854
29_P_mc017,29,0.006378258458125347,0.006378258458125347,0.037355129273829
29_P_mc018,29,0.014420410427066002,0.014420410427066,0.14035537692233543
29_P_mc019,29,0.010260676650027731,0.010260676650027731,0.10815763015370194
29_P_mc020,29,0.003882418191902385,0.003882418191902385,0.037917490153332074
29_P_mc021,29,0.008042151968940654,0.008042151968940654,0.06797892954961567
29_P_mc022,29,0.010260676650027731,0.010260676650027731,0.11414833491301477
29_P_mc023,29,0.0022185246810870773,0.0022185246810870773,0.021493448498130757
29_P_mc024,29,0.011647254575707155,0.011647254575707155,0.14025530166156835
29_P_mc025,29,0.010537992235163617,0.010537992235163616,0.1679588387801711
29_P_mc026,29,0.00970604547975596,0.009706045479755962,0.11526697494444915
29_P_mc027,29,0.013865779256794232,0.013865779256794232,0.14334314002314252
29_P_mc028,29,0.010815307820299502,0.010815307820299502,0.087959669261749
29_P_mc029,29,0.0066555740432612314,0.0066555740432612314,0.043853251185290335
29_P_mc030,29,0.008596783139212423,0.008596783139212423,0.09159041279955567
29_P_mc031,29,0.015252357182473652,0.015252357182473655,0.1658652601526256
29_P_mc032,29,0.00776483638380477,0.00776483638380477,0.08344252655021706
29_P_mc033,29,0.00887409872434831,0.00887409872434831,0.07639766628192451
29_P_mc034,29,0.00776483638380477,0.00776483638380477,0.07081953501284874
29_P_mc035,29,0.012479201331114811,0.012479201331114808,0.1669481006165972
29_P_mc036,29,0.005268996117581808,0.005268996117581808,0.052955888293267736
29_P_mc037,29,0.0024958402662229617,0.0024958402662229617,0.03370557256359072
29_P_mc038,29,0.006932889628397116,0.006932889628397116,0.06523995208061756
29_P_mc039,29,0.009706045479755962,0.009706045479755962,0.07558837915593239
29_P_mc040,29,0.009706045479755964,0.009706045479755962,0.11440335448425451
29_P_mc041,29,0.01386577925679423,0.013865779256794232,0.15787510782831146
29_P_mc042,29,0.00887409872434831,0.00887409872434831,0.09646946068466247
29_P_mc043,29,0.0022185246810870773,0.0022185246810870773,0.025642486831625004
29_P_mc044,29,0.009151414309484195,0.009151414309484194,0.12296301480692838
29_P_mc045,29,0.007210205213533,0.007210205213533,0.05437349958586987
29_P_mc046,29,0.003050471436494731,0.003050471436494731,0.03044079226650848
29_P_mc047,29,0.005268996117581808,0.005268996117581808,0.04996390984822883
29_P_mc048,29,0.011092623405435386,0.011092623405435386,0.11044321020877446
29_P_mc049,29,0.0027731558513588465,0.0027731558513588465,0.01711864479987572
29_P_mc050,29,0.008319467554076539,0.008319467554076539,0.10175357720518804
29_P_mc051,29,0.008319467554076539,0.008319467554076539,0.11744060065914988
29_P_mc052,29,0.01192457016084304,0.01192457016084304,0.15616594524166633
29_P_mc053,29,0.0036051026067665,0.0036051026067665,0.02884324744478196
29_P_mc054,29,0.01109262340543539,0.011092623405435386,0.16540030607591827
29_P_mc055,29,0.008319467554076539,0.008319467554076539,0.1341902047375524
29_P_mc056,29,0.006378258458125348,0.006378258458125347,0.09867924778140878
29_P_mc057,29,0.010815307820299502,0.010815307820299502,0.09811241084342343
29_P_mc058,29,0.008596783139212423,0.008596783139212423,0.06941850609843173
29_P_mc059,29,0.010260676650027733,0.010260676650027731,0.11984967570380571
29_P_mc060,29,0.012756516916250694,0.012756516916250694,0.10543117153361657
29_P_mc061,29,0.0019412090959511925,0.0019412090959511925,0.023429525988473945
29_P_mc062,29,0.0024958402662229617,0.0024958402662229617,0.01790362977290137
29_P_mc063,29,0.004437049362174155,0.004437049362174155,0.1338831921794884
29_P_mc064,29,0.004714364947310039,0.004714364947310039,0.05116606598838322
29_P_mc065,29,0.003882418191902385,0.003882418191902385,0.02482342640915694
29_P_mc066,29,0.0033277870216306157,0.0033277870216306157,0.024342529119447596
29_P_mc067,29,0.009983361064891847,0.009983361064891847,0.09597518001285991
29_P_mc068,29,0.01747088186356073,0.01747088186356073,0.22589953481737982
29_P_mc069,29,0.007210205213533001,0.007210205213533,0.09316078434419744
29_P_mc070,29,0.0033277870216306157,0.0033277870216306157,0.024916409676438975
29_P_mc071,29,0.013588463671658349,0.013588463671658347,0.13972624484464546
29_P_mc072,29,0.009983361064891847,0.009983361064891847,0.11958687068571125
29_P_mc073,29,0.004159733777038269,0.004159733777038269,0.06340551859967966
29_P_mc074,29,0.00887409872434831,0.00887409872434831,0.09880300506197144
29_P_mc075,29,0.009983361064891848,0.009983361064891847,0.08731239657069734
29_P_mc076,29,0.0033277870216306157,0.0033277870216306157,0.05011241376301414
29_P_mc077,29,0.0074875207986688855,0.0074875207986688855,0.0782976159108441
29_P_mc078,29,0.01247920133111481,0.012479201331114808,0.1311723494227963
29_P_mc079,29,0.006378258458125347,0.006378258458125347,0.06470230992596379
29_P_mc080,29,0.007210205213533,0.007210205213533,0.09761838260651955
29_P_mc081,29,0.005823627287853577,0.005823627287853577,0.06731176411163009
29_P_mc082,29,0.004437049362174155,0.004437049362174155,0.04989910763079827
29_P_mc083,29,0.00776483638380477,0.00776483638380477,0.12127843904838798
29_P_mc084,29,0.0024958402662229617,0.0024958402662229617,0.02427741095866737
29_P_mc085,29,0.004714364947310039,0.004714364947310039,0.039707909795369846
29_P_mc086,29,0.009151414309484194,0.009151414309484194,0.11353811333002396
29_P_mc087,29,0.013033832501386577,0.013033832501386578,0.11394891807796234
29_P_mc088,29,0.008596783139212423,0.008596783139212423,0.07511963029924451
29_P_mc089,29,0.006100942872989462,0.006100942872989462,0.050819498037124704
29_P_mc090,29,0.010537992235163616,0.010537992235163616,0.0911651080688847
29_P_mc091,29,0.0033277870216306157,0.0033277870216306157,0.031141055827348392
29_P_mc092,29,0.01608430393788131,0.01608430393788131,0.196993066098389
29_P_mc093,29,0.012756516916250694,0.012756516916250694,0.15045182326708043
